"Longitude","Latitude","Count"
-122.4194,37.7749,16906
-75.837,45.3155,12936
-81.4835,28.5225,10924
-95.3633,29.7633,7528
-118.2437,34.0522,5841
-0.0931,51.5142,5474
-74.006,40.7143,4019
-87.65,41.85,3868
-82.123,34.9104,3836
-112.074,33.4484,3664
-104.9847,39.7392,3593
-80.1937,25.7743,3502
-111.9171,33.4357,2793
-75.1638,39.9523,2624
-122.3321,47.6062,2502
-82.9988,39.9612,2447
-122.6762,45.5234,2419
-96.8067,32.7831,2348
-121.4944,38.5816,2262
-117.1573,32.7153,2257
-97.7431,30.2672,2205
-79.4167,43.6667,1974
-46.6658,-23.4733,1820
-80.8431,35.2271,1771
-111.8911,40.7608,1756
-81.3792,28.5383,1742
-115.1372,36.175,1718
-83.0235,39.9653,1694
-121.895,37.3394,1673
-87.9901,42.0152,1672
-84.388,33.749,1612
-83.1763,42.3223,1472
-117.8231,33.6695,1435
-73.8769,40.8499,1374
-122.2708,37.8044,1371
-93.2638,44.98,1366
-77.0364,38.8951,1341
-121.3828,38.6263,1339
-122.4364,37.6228,1321
77.5833,12.9833,1274
-82.4584,27.9475,1253
-98.4936,29.4241,1243
-95.9378,41.2586,1222
-73.9496,40.6501,1170
151.2055,-33.8615,1153
-110.9265,32.2217,1119
78.4744,17.3753,1091
-97.5164,35.4676,1088
-74.4026,40.8597,1067
-123.0867,49.0192,1062
-71.0598,42.3584,1051
103.8558,1.2931,1049
-90.1979,38.6273,1002
-78.6386,35.7721,1000
-77.4311,38.8943,988
-86.158,39.7684,966
-74.0633,40.7801,965
-80.1434,26.1223,958
-111.9093,33.4148,957
-117.5664,33.8753,945
-77.4603,37.5538,941
-119.8138,39.5296,939
-93.0933,44.9444,894
-104.8738,39.6237,888
-111.8226,33.4223,868
-77.4838,39.0335,855
-122.3341,47.6103,854
-111.899,33.5092,839
-79.9959,40.4406,830
-81.6556,30.3322,801
-74.1075,40.3965,782
-96.9489,32.814,773
-80.9343,35.1232,760
-118.1892,33.767,744
-113.5,53.55,734
-111.884,40.6576,731
-96.9398,32.8795,728
-75.597,39.5645,727
-91.1546,30.4507,726
144.9634,-37.8139,718
-106.6511,35.0845,692
-122.4586,37.7631,687
-95.367,29.7523,680
-82.5349,41.3775,675
-122.0318,38.0033,673
-97.3208,32.7254,668
-114.0833,51.0833,662
-96.8133,33.0812,662
153.0243,-27.471,640
-6.2489,53.3331,635
-111.9856,33.4627,619
-117.8612,33.9269,611
-97.4071,31.1064,610
2.3333,48.8667,607
-104.8214,38.8339,605
-79.9379,40.7079,602
-117.3962,33.9534,596
55.3047,25.2582,584
-122.2007,47.6104,579
-95.4172,30.0799,579
-86.7844,36.1659,577
-117.9145,33.8353,567
-111.789,33.3528,559
-73.5833,45.5,556
-93.4266,45.0469,553
-75.0593,39.95,550
-117.6786,33.6451,548
-74.4815,40.7968,547
-149.9003,61.2181,541
-84.4569,39.162,540
-122.1206,47.6801,536
151.2082,-33.8666,534
-85.7594,38.2542,527
-121.946,37.425,525
-81.519,41.0814,522
-99.1386,19.4342,519
-90.5334,38.65,505
72.8258,18.975,491
1.0833,49.4333,488
-122.4443,47.2529,485
115.8614,-31.9522,482
-76.6122,39.2904,481
-84.3915,33.7516,481
-119.6982,34.4208,480
-83.1782,42.4666,476
-88.8643,40.5192,476
-122.1359,37.7591,476
-86.9269,40.6782,476
-90.2165,38.6304,469
-74.3499,40.5186,463
-111.8413,33.3062,462
-117.797,33.7011,461
-157.8057,21.3136,452
-90.7289,38.8251,451
-122.2566,38.1041,451
-77.4875,39.0437,446
-94.5786,39.0997,442
-95.9928,36.154,442
-121.3027,38.5891,442
-71.3506,42.6523,441
-117.1324,32.8073,437
-90.1556,32.4326,426
-111.9089,33.561,426
-77.0261,38.9907,424
-89.4012,43.0731,423
-81.3392,28.6,419
-77.0469,38.8048,412
-122.078,37.9536,412
-87.9065,43.0389,407
-71.8023,42.2626,406
-112.186,33.5386,406
-120.6214,35.2565,406
-88.0163,41.878,404
-117.3506,33.1581,403
-3.6922,40.4086,401
-80.3503,27.2939,399
-90.0751,29.9547,389
-74.0628,4.6492,388
-116.2035,43.6135,385
-83.291,42.6389,383
-84.318,33.9432,382
-122.7507,38.3928,382
-97.2289,32.8343,376
139.7514,35.685,373
-77.1003,38.9807,371
-104.8319,39.7294,370
-121.9552,37.3541,368
-121.9326,38.3507,365
121.3997,31.0456,363
-122.4156,37.7484,362
-90.049,35.1495,359
-80.0831,26.3587,357
-121.9164,37.7186,356
-77.1043,38.881,356
-86.8025,33.5207,353
-122.6615,45.6387,352
-96.6989,33.0198,351
-118.2987,33.7866,351
-105.3735,40.0878,350
-121.978,37.7799,350
-122.0808,37.6688,343
114.15,22.2833,342
-81.6954,41.4995,339
-80.7237,35.1168,339
-121.9886,37.5483,335
106.8294,-6.1744,332
-78.8784,42.8864,332
-80.1495,26.0112,330
-122.1826,37.3762,328
-93.6091,41.6005,328
-121.0526,38.6839,328
-117.1607,32.7191,326
-121.9617,37.3961,323
-75.5466,39.746,322
-122.2687,37.555,319
-1.9167,52.4667,318
-77.3064,38.8462,316
-86.3073,42.1273,313
-43.2333,-22.9,313
-114.9819,36.0397,311
-118.2551,34.1425,311
-105.25,20.6167,309
-104.9878,39.6478,309
-81.9861,33.0892,309
-83.1499,42.6056,306
-117.1979,32.957,306
-117.8678,33.7456,305
144.9729,-37.8232,303
-78.8784,35.0527,301
-105.0166,39.6133,299
-85.6681,42.9634,298
138.5986,-34.9287,298
-123.1333,49.25,297
-122.0574,37.4192,297
9.2,45.4667,296
-96.0527,41.2615,296
-73.2076,41.2599,295
-122.0946,37.3042,294
-76.9455,38.9559,293
-117.3795,33.1959,292
-77.9887,34.3174,292
-121.8552,37.6543,290
-84.5144,33.884,290
-71.0548,42.3605,289
-111.9665,40.5598,288
-71.521,42.1544,287
12.4833,41.9,285
-95.635,29.6197,285
-122.2364,37.4852,282
-116.9671,32.7952,282
-117.7289,33.5717,280
-81.0237,34.8889,277
-72.7312,41.6856,277
-75.6055,39.9607,276
-95.613,29.775,275
-122.1781,37.459,274
-117.5808,34.0995,274
-74.485,40.436,273
-119.0187,35.3733,273
-117.4351,34.0922,272
-106.4328,31.7634,271
-96.8,32.7877,271
-121.2574,44.0744,270
-86.777,36.1473,269
-121.9904,37.7806,269
-97.7369,30.2961,269
-90.1848,32.2988,269
-117.7339,33.6751,268
-117.7052,33.5351,268
4.9167,52.35,267
-81.0348,34.0007,267
