Latitude,Longitude,Count
35.2046,-95.5448,0
39.5149,-91.9433,0
44.4142,-103.4123,0
42.8307,-98.3296,1
42.9461,-98.5697,2
36.1334,-96.2091,2
44.1183,-111.32,3
45.6642,-99.5607,3
45.9248,-96.576,3
42.7654,-104.9252,4
47.8373,-100.9344,4
36.36,-95.1214,4
45.1818,-97.6835,4
37.9607,-81.0795,5
39.8757,-75.0276,5
39.0214,-91.0483,5
47.7868,-94.4265,5
37.1988,-97.8544,5
45.2442,-98.0992,5
42.946,-98.8285,6
36.6832,-98.4237,6
45.3155,-99.9812,6
48.0038,-100.72,7
48.6153,-101.5887,7
44.2591,-114.4001,7
38.1184,-85.7201,7
39.7802,-105.0579,8
45.6242,-98.7717,8
45.8873,-99.8069,8
48.8683,-101.5678,9
48.7149,-99.458,9
33.1481,-88.1757,9
42.9118,-99.5919,10
40.8047,-76.3439,10
38.8831,-92.455,10
39.1841,-94.3941,10
37.0018,-98.1826,10
43.7252,-97.689,10
43.9657,-101.9021,10
28.3793,-81.5266,11
39.7869,-74.9741,11
41.0931,-72.3417,11
36.8731,-100.1931,11
47.2071,-97.7959,12
45.9971,-99.5479,12
48.9525,-99.3808,12
48.2687,-99.1944,12
66.9064,-151.5377,12
36.7203,-97.7909,12
36.9248,-97.6571,12
34.3046,-98.7708,12
43.8265,-95.4824,12
28.517,-82.5775,13
39.7071,-90.6514,13
37.9214,-89.9163,13
38.7448,-90.4536,13
39.6573,-98.94,13
47.86,-100.5133,14
48.9726,-98.6904,14
40.8784,-93.5924,14
40.2486,-95.4545,14
37.9064,-95.4076,14
42.6643,-104.0913,15
48.6418,-98.5248,15
48.4977,-100.6098,15
40.0299,-78.1917,15
40.8076,-94.0507,15
34.8662,-98.8759,15
43.9996,-111.3435,15
45.5582,-96.5603,15
45.1912,-99.4659,15
45.0513,-96.5535,15
46.119,-103.0788,16
46.3627,-101.6386,16
38.2966,-106.1419,16
39.3976,-92.9921,16
37.7161,-98.3198,16
45.262,-97.7117,16
44.2909,-98.4276,16
29.6648,-81.2138,17
32.333,-91.0241,17
47.0411,-97.491,17
41.9384,-99.8651,17
40.5403,-94.39,17
38.5124,-98.2674,17
48.6811,-100.151,18
37.4516,-93.2311,18
37.9744,-94.5645,18
44.4895,-97.7505,18
32.7188,-101.9174,19
47.105,-98.3154,19
48.8518,-98.9381,19
36.8722,-96.5691,19
35.3686,-95.7008,19
38.7387,-96.8458,19
44.0083,-97.596,19
47.7628,-99.5155,20
48.6359,-99.6178,20
46.5639,-100.0898,20
42.3348,-97.2946,20
42.9274,-101.1018,20
40.1641,-97.9738,20
42.5611,-90.7743,20
39.981,-96.9919,20
32.0135,-96.4303,21
46.4822,-103.3195,21
48.6238,-98.938,21
46.5002,-104.7929,21
45.0887,-119.8841,21
48.9099,-103.7783,22
45.9739,-102.471,22
48.2344,-97.6752,22
46.0081,-98.1255,22
39.5612,-90.7234,22
40.1107,-85.7294,22
42.6535,-94.3909,22
40.8476,-95.0167,22
48.3131,-99.5736,23
40.5725,-101.9793,23
40.2183,-95.5778,23
40.1313,-99.9711,23
42.6895,-97.0274,23
34.6979,-99.2287,23
39.7198,-111.1623,23
39.2466,-97.3429,23
40.5336,-100.3845,24
33.1534,-82.625,24
37.9548,-93.577,24
39.5426,-97.9523,24
38.0795,-95.2431,24
38.1738,-98.8944,24
39.9343,-98.0351,24
36.0987,-81.8482,25
48.344,-99.6912,25
46.4023,-97.8149,25
31.9216,-87.0852,25
42.5073,-90.9613,25
40.6632,-94.3403,25
37.5864,-94.1584,25
40.1098,-95.2894,25
38.9127,-101.1758,25
26.1563,-80.1452,26
46.0761,-97.3844,26
46.0648,-102.7884,26
48.956,-103.481,26
40.0251,-79.2934,26
56.8092,-132.9916,26
38.1644,-90.2129,26
43.4439,-112.8135,26
38.0247,-95.1738,26
45.1676,-98.7434,26
48.9712,-101.2829,27
47.9518,-100.5343,27
48.9451,-98.9958,27
40.0346,-95.5181,27
35.9905,-92.717,27
38.1019,-86.2754,27
42.4794,-94.7182,27
38.2599,-96.8215,27
48.6276,-99.0979,28
42.5124,-97.9083,28
40.4149,-97.5871,28
40.1153,-80.3049,28
33.1369,-88.3008,28
35.7498,-97.1183,28
37.5486,-92.5961,28
40.5785,-93.5242,28
45.5723,-96.2943,28
38.6406,-99.7443,28
38.5761,-96.3674,28
48.8952,-98.6008,29
48.3036,-98.3685,29
48.6911,-100.7076,29
48.7013,-100.4985,29
40.1714,-98.4491,29
40.6732,-94.4119,29
35.8559,-98.968,29
39.2622,-90.8287,29
40.0519,-95.3176,29
47.2186,-97.9653,30
40.724,-97.7237,30
42.8114,-98.1933,30
36.4964,-93.3974,30
36.9379,-96.6488,30
39.1199,-98.7979,30
47.2515,-97.9351,31
40.6899,-100.4004,31
41.0497,-94.824,31
42.693,-93.6051,31
38.9114,-92.4723,31
45.8567,-99.2059,31
41.4698,-100.4583,32
41.2949,-98.3691,32
41.9464,-94.1137,32
36.8128,-99.9327,32
44.3784,-112.1903,32
38.2811,-91.0967,32
45.232,-96.1627,32
45.2605,-96.9154,32
44.4938,-98.3466,32
44.9043,-98.8234,32
48.6303,-98.7048,33
42.3161,-94.8432,33
35.1479,-97.0087,33
36.2604,-97.6675,33
38.322,-94.3486,33
38.6406,-98.7745,33
44.8408,-96.6901,33
36.5931,-103.6134,34
48.2521,-103.4617,34
40.6128,-102.4721,34
35.7574,-90.0601,34
40.3441,-91.1118,34
38.8459,-92.454,34
46.3617,-92.9416,34
45.4054,-94.8397,34
38.6428,-96.2567,34
38.6876,-83.4915,34
32.5002,-99.7464,35
48.1836,-99.324,35
46.3783,-98.4885,35
48.4979,-99.7044,35
46.1734,-98.5952,35
42.3861,-97.4681,35
31.1782,-83.8054,35
35.2222,-99.9929,35
40.467,-91.9736,35
44.2825,-94.8465,35
37.286,-97.8921,35
37.7877,-98.8669,35
39.6765,-99.4211,35
35.3073,-81.1101,36
41.68,-97.5669,36
34.0904,-87.6014,36
39.32,-89.2879,36
42.898,-94.3756,36
39.6199,-82.09,36
43.4911,-97.3848,36
45.2083,-99.614,36
48.4899,-98.2311,37
47.1424,-99.7805,37
40.3347,-96.4224,37
35.4821,-93.7581,37
39.6286,-90.6106,37
40.5808,-95.2215,37
36.9014,-98.2946,37
40.3989,-94.3233,37
46.0077,-93.8885,37
39.7227,-95.5056,37
45.0036,-120.7522,37
44.81,-118.4187,37
45.0608,-99.5092,37
48.8958,-100.9119,38
40.1461,-97.4151,38
33.398,-91.4704,38
35.4594,-90.2616,38
42.7411,-91.2751,38
38.6412,-98.9579,38
37.2653,-101.7828,38
44.7716,-97.5131,38
33.0985,-97.2304,39
40.3108,-99.2896,39
41.9105,-95.135,39
36.924,-98.2936,39
39.4983,-93.1939,39
44.2365,-96.0532,39
46.76,-97.556,40
42.7597,-102.348,40
39.8011,-78.9216,40
